排名,片名,评分,评价人数,一句话影评
1,肖申克的救赎,9.7,3311695人评价,希望让人自由。
2,霸王别姬,9.6,2443295人评价,风华绝代。
3,泰坦尼克号,9.5,2519911人评价,失去的才是永恒的。 
4,阿甘正传,9.5,2448322人评价,一部美国近现代史。
5,千与千寻,9.4,2558670人评价,最好的宫崎骏，最好的久石让。 
6,星际穿越,9.4,2209469人评价,爱是一种力量，让我们超越时空感知它的存在。
7,美丽人生,9.5,1493182人评价,最美的谎言。
8,这个杀手不太冷,9.4,2568873人评价,怪蜀黍和小萝莉不得不说的故事。
9,盗梦空间,9.4,2344584人评价,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,9.4,2040147人评价,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,9.5,1255927人评价,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,9.4,1553678人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,9.3,1893332人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,疯狂动物城,9.3,2344219人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
15,三傻大闹宝莱坞,9.2,2094018人评价,英俊版憨豆，高情商版谢耳朵。
16,机器人总动员,9.3,1507519人评价,小瓦力，大人生。
17,放牛班的春天,9.3,1485343人评价,天籁一般的童声，是最接近上帝的存在。 
18,无间道,9.3,1579660人评价,香港电影史上永不过时的杰作。
19,控方证人,9.6,755864人评价,比利·怀德满分作品。
20,寻梦环游记,9.1,2013351人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
21,大话西游之大圣娶亲,9.2,1723525人评价,一生所爱。
22,熔炉,9.3,1042835人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
23,触不可及,9.3,1307780人评价,满满温情的高雅喜剧。
24,教父,9.3,1117865人评价,千万不要记恨你的对手，这样会让你失去理智。
25,哈利·波特与魔法石,9.2,1438278人评价,童话世界的开端。
26,末代皇帝,9.3,1038622人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,当幸福来敲门,9.1,1700482人评价,平民励志片。 
28,龙猫,9.2,1421972人评价,人人心中都有个龙猫，童年就永远不会消失。
29,活着,9.3,979576人评价,张艺谋最好的电影。
30,怦然心动,9.1,2067133人评价,真正的幸福是来自内心深处。
31,蝙蝠侠：黑暗骑士,9.2,1203874人评价,无尽的黑暗。
32,指环王3：王者无敌,9.3,919120人评价,史诗的终章。
33,我不是药神,9.0,2368043人评价,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,9.3,804338人评价,Tomorrow is another day.
35,让子弹飞,9.0,1935259人评价,你给我翻译翻译，神马叫做TMD的惊喜。
36,飞屋环游记,9.1,1514610人评价,最后那些最无聊的事情，才是最值得怀念的。 
37,哈尔的移动城堡,9.1,1306384人评价,带着心爱的人在天空飞翔。
38,十二怒汉,9.4,585574人评价,1957年的理想主义。 
39,海蒂和爷爷,9.3,795536人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
40,素媛,9.3,782897人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
41,猫鼠游戏,9.1,1224423人评价,骗子大师和执著警探的你追我跑故事。 
42,天空之城,9.2,1017751人评价,对天空的追逐，永不停止。 
43,鬼子来了,9.3,722346人评价,对敌人的仁慈，就是对自己残忍。
44,摔跤吧！爸爸,9.0,1760089人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
45,少年派的奇幻漂流,9.1,1500212人评价,瑰丽壮观、无人能及的冒险之旅。
46,钢琴家,9.3,757420人评价,
47,死亡诗社,9.2,895242人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
48,指环王2：双塔奇兵,9.2,865947人评价,承前启后的史诗篇章。
49,大话西游之月光宝盒,9.0,1378774人评价,
50,绿皮书,8.9,1911020人评价,去除成见，需要勇气。
51,何以为家,9.1,1170187人评价,凝视卑弱生命，用电影改变命运。
52,闻香识女人,9.1,1032441人评价,
53,大闹天宫,9.4,515338人评价,
54,黑客帝国,9.1,960354人评价,
55,指环王1：护戒使者,9.1,969753人评价,
56,罗马假日,9.1,1055832人评价,
57,教父2,9.3,647417人评价,
58,狮子王,9.1,969955人评价,
59,天堂电影院,9.2,747434人评价,
60,饮食男女,9.2,734480人评价,
61,辩护人,9.2,662413人评价,电影的现实意义大过电影本身。
62,本杰明·巴顿奇事,9.0,1114459人评价,在时间之河里感受溺水之苦。
63,搏击俱乐部,9.0,987769人评价,
64,美丽心灵,9.1,859412人评价,
65,穿条纹睡衣的男孩,9.2,647447人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,哈利·波特与死亡圣器(下),9.0,980812人评价,10年的完美句点。
67,两杆大烟枪,9.1,685091人评价,
68,功夫,8.9,1357482人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
69,情书,8.9,1339347人评价,
70,窃听风暴,9.2,637541人评价,别样人生。
71,音乐之声,9.1,690799人评价,
72,哈利·波特与阿兹卡班的囚徒,9.0,901903人评价,不一样的导演，不一样的哈利·波特。
73,阿凡达,8.8,1598256人评价,绝对意义上的美轮美奂。
74,西西里的美丽传说,8.9,1101945人评价,
75,看不见的客人,8.8,1454552人评价,你以为你以为的就是你以为的。
76,拯救大兵瑞恩,9.1,733240人评价,
77,沉默的羔羊,8.9,1026473人评价,
78,小鞋子,9.2,472460人评价,
79,蝴蝶效应,8.9,1079878人评价,人的命运被自己瞬间的抉择改变。
80,布达佩斯大饭店,8.9,1096462人评价,小清新的故事里注入了大历史的情怀。
81,还有明天,9.3,385509人评价,
82,飞越疯人院,9.1,610491人评价,
83,禁闭岛,8.9,1126337人评价,昔日翩翩少年，今日大腹便便。
84,心灵捕手,9.0,823119人评价,
85,致命魔术,8.9,973849人评价,孪生蝙蝠侠大战克隆金刚狼。
86,低俗小说,8.9,970143人评价,
87,哈利·波特与密室,8.9,928852人评价,
88,一一,9.1,523624人评价,
89,超脱,9.0,732088人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
90,喜剧之王,8.8,1110290人评价,
91,致命ID,8.9,962985人评价,
92,杀人回忆,8.9,848408人评价,
93,摩登时代,9.3,351334人评价,
94,加勒比海盗,8.8,980118人评价,
95,春光乍泄,9.0,715793人评价,
96,海豚湾,9.3,384642人评价,海豚的微笑，是世界上最高明的伪装。
97,美国往事,9.1,477461人评价,
98,红辣椒,9.0,579270人评价,梦的勾结。
99,七宗罪,8.8,1075785人评价,
100,唐伯虎点秋香,8.8,1239284人评价,
101,狩猎,9.1,477896人评价,人言可畏。
102,幽灵公主,8.9,678004人评价,
103,寄生虫,8.8,1563552人评价,
104,甜蜜蜜,8.9,682905人评价,
105,天书奇谭,9.2,341469人评价,
106,蝙蝠侠：黑暗骑士崛起,8.9,824216人评价,诺兰就是保证。
107,超能陆战队,8.8,1158787人评价,Balalala~~~
108,茶馆,9.5,215267人评价,
109,7号房的礼物,8.9,628361人评价,《我是山姆》的《美丽人生》。
110,第六感,8.9,647810人评价,
111,爱在日落黄昏时,8.9,664530人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
112,爱在黎明破晓前,8.8,814274人评价,
113,头脑特工队,8.9,820384人评价,愿我们都不用长大，每一座城堡都能永远存在。
114,哈利·波特与火焰杯,8.8,814136人评价,
115,被嫌弃的松子的一生,8.8,781703人评价,以戏谑来戏谑戏谑。
116,未麻的部屋,9.1,432883人评价,
117,重庆森林,8.8,932984人评价,
118,借东西的小人阿莉埃蒂,8.9,635528人评价,曾经的那段美好会沉淀为一辈子的记忆。
119,菊次郎的夏天,8.9,681849人评价,
120,入殓师,8.9,748736人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
121,剪刀手爱德华,8.7,1129193人评价,
122,断背山,8.8,791537人评价,每个人心中都有一座断背山。
123,勇敢的心,8.9,610553人评价,
124,时空恋旅人,8.8,805355人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
125,玩具总动员3,8.9,608463人评价,跨度十五年的欢乐与泪水。
126,傲慢与偏见,8.7,953664人评价,爱是摈弃傲慢与偏见之后的曙光。
127,驯龙高手,8.8,877268人评价,和谐的生活离不开摸头与被摸头。
128,消失的爱人,8.7,1085081人评价,年度最佳date movie。
129,无人知晓,9.1,377930人评价,我的平常生活就是他人的幸福。
130,倩女幽魂,8.8,844190人评价,
131,新世界,8.9,536868人评价,要做就做得狠一点，这样才能活下去。
132,花样年华,8.8,817918人评价,
133,一个叫欧维的男人决定去死,8.9,578368人评价,惠及一生的美丽。
134,色，戒,8.7,976023人评价,假戏真情，爱欲深海
135,完美的世界,9.1,364621人评价,
136,怪兽电力公司,8.8,780576人评价,
137,教父3,9.0,439075人评价,
138,小森林 夏秋篇,9.0,479137人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
139,天使爱美丽,8.7,1027926人评价,
140,阳光灿烂的日子,8.8,703369人评价,
141,九品芝麻官,8.8,807691人评价,
142,哪吒闹海,9.2,312765人评价,
143,侧耳倾听,8.9,526569人评价,
144,被解救的姜戈,8.8,702489人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
145,幸福终点站,8.8,649948人评价,有时候幸福需要等一等。 
146,请以你的名字呼唤我,8.8,835880人评价,沉醉在电影的情感和视听氛围中无法自拔。
